date,admin1,temp_max,temp_min,precipitation
2022-01-24,Hama,8.5,-7.0,0.3
2022-01-24,Al-Hasakah,13.2,-8.5,8.5
2022-01-24,Deir ez-Zor,19.3,-11.0,0.0
2022-01-25,Aleppo,7.9,-7.2,0.0
2022-01-25,Damascus,11.2,-4.8,0.0
2022-01-25,Homs,8.0,-9.4,6.4
2022-01-25,Idlib,8.8,-5.0,3.3
2022-01-25,Lattakia,13.2,4.9,1.6
2022-01-25,Hama,12.4,-2.6,0.0
2022-01-25,Al-Hasakah,11.6,-5.6,0.0
2022-01-25,Deir ez-Zor,19.6,-3.8,0.0
2022-01-26,Aleppo,11.1,-7.0,0.0
2022-01-26,Damascus,11.1,-5.3,5.0
2022-01-26,Homs,7.9,-6.7,16.5
2022-01-26,Idlib,12.4,-5.0,0.0
2022-01-26,Lattakia,12.8,2.9,0.3
2022-01-26,Hama,14.4,-9.0,0.0
2022-01-26,Al-Hasakah,7.7,-5.7,0.1
2022-01-26,Deir ez-Zor,19.6,-7.1,0.0
2022-01-27,Aleppo,5.8,-11.3,0.0
2022-01-27,Damascus,7.7,-3.5,0.0
2022-01-27,Homs,5.1,-4.8,2.8
2022-01-27,Idlib,16.3,-7.9,20.7
2022-01-27,Lattakia,13.5,3.4,5.3
2022-01-27,Hama,10.7,-2.2,10.1
2022-01-27,Al-Hasakah,11.3,-5.3,0.0
2022-01-27,Deir ez-Zor,16.6,-4.5,5.8
2022-01-28,Aleppo,10.3,-9.2,0.0
2022-01-28,Damascus,13.5,-6.7,0.0
2022-01-28,Homs,7.8,-12.9,5.9
2022-01-28,Idlib,8.1,-5.2,0.0
2022-01-28,Lattakia,13.0,-0.3,12.2
2022-01-28,Hama,8.5,-4.7,0.4
2022-01-28,Al-Hasakah,10.4,-8.8,0.0
2022-01-28,Deir ez-Zor,15.5,-4.9,49.9
2022-01-29,Aleppo,12.7,-4.4,0.0
2022-01-29,Damascus,14.3,-6.2,0.0
2022-01-29,Homs,13.3,-6.1,0.0
2022-01-29,Idlib,16.4,-4.4,1.4
2022-01-29,Lattakia,13.6,3.8,1.0
2022-01-29,Hama,11.3,0.7,0.0
2022-01-29,Al-Hasakah,10.2,-5.6,0.0
2022-01-29,Deir ez-Zor,16.6,-9.2,0.0
2022-01-30,Aleppo,7.2,-8.8,10.1
2022-01-30,Damascus,16.4,-5.8,0.0
2022-01-30,Homs,9.1,-4.2,0.0
2022-01-30,Idlib,15.8,-1.2,6.3
2022-01-30,Lattakia,12.4,1.2,9.6
2022-01-30,Hama,13.2,-5.3,0.0
2022-01-30,Al-Hasakah,13.8,-10.0,17.4
2022-01-30,Deir ez-Zor,12.0,-1.6,0.0
2022-01-31,Aleppo,11.3,-8.1,0.0
2022-01-31,Damascus,6.9,-5.5,0.0
2022-01-31,Homs,8.8,-7.1,0.0
2022-01-31,Idlib,10.6,0.7,0.0
2022-01-31,Lattakia,16.6,3.6,5.6
2022-01-31,Hama,11.4,-6.8,8.7
2022-01-31,Al-Hasakah,13.3,-4.6,0.0
2022-01-31,Deir ez-Zor,25.5,-3.2,0.0
2022-02-01,Aleppo,9.4,0.1,5.9
2022-02-01,Damascus,12.2,-3.3,0.0
2022-02-01,Homs,10.6,-3.3,0.0
2022-02-01,Idlib,15.1,-1.3,0.0
2022-02-01,Lattakia,16.9,0.3,183.5
2022-02-01,Hama,15.0,-4.6,0.0
2022-02-01,Al-Hasakah,12.5,-4.3,5.5
2022-02-01,Deir ez-Zor,22.0,-1.9,0.0
2022-02-02,Aleppo,7.7,-8.6,3.0
2022-02-02,Damascus,8.1,-5.5,0.0
2022-02-02,Homs,13.5,-1.9,10.0
2022-02-02,Idlib,10.6,-4.1,2.5
2022-02-02,Lattakia,20.0,5.1,0.0
2022-02-02,Hama,11.5,-2.8,13.6
2022-02-02,Al-Hasakah,11.0,-7.3,1.8
2022-02-02,Deir ez-Zor,14.8,-3.3,0.0
2022-02-03,Aleppo,11.4,-4.6,3.7
2022-02-03,Damascus,12.7,-6.2,0.0
2022-02-03,Homs,14.7,-5.7,5.0
2022-02-03,Idlib,15.8,-2.8,1.2
2022-02-03,Lattakia,16.8,2.7,1.4
2022-02-03,Hama,14.9,-4.9,0.0
2022-02-03,Al-Hasakah,12.1,-6.6,0.0
2022-02-03,Deir ez-Zor,18.6,-5.5,5.1
2022-02-04,Aleppo,7.4,-3.3,0.0
2022-02-04,Damascus,13.4,-3.6,0.0
2022-02-04,Homs,6.4,-10.1,0.0
2022-02-04,Idlib,13.3,-4.9,1.9
2022-02-04,Lattakia,12.8,1.1,0.4
2022-02-04,Hama,13.4,-7.2,0.0
2022-02-04,Al-Hasakah,5.6,-3.5,0.0
2022-02-04,Deir ez-Zor,21.6,-1.9,0.0
2022-02-05,Aleppo,13.9,-6.0,0.0
2022-02-05,Damascus,12.3,-5.6,5.5
2022-02-05,Homs,7.7,-5.8,0.0
2022-02-05,Idlib,16.3,-3.0,0.5
2022-02-05,Lattakia,15.1,3.4,0.0
2022-02-05,Hama,10.6,-6.4,0.0
2022-02-05,Al-Hasakah,6.4,-2.8,0.0
2022-02-05,Deir ez-Zor,19.4,2.7,0.0
2022-02-06,Aleppo,12.8,-3.7,0.0
2022-02-06,Damascus,13.7,-2.3,0.4
2022-02-06,Homs,12.8,-7.1,0.0
2022-02-06,Idlib,16.1,-2.0,0.0
2022-02-06,Lattakia,15.7,6.0,0.0
2022-02-06,Hama,13.2,-6.1,4.8
2022-02-06,Al-Hasakah,13.7,-3.7,3.5
2022-02-06,Deir ez-Zor,20.4,-3.2,0.3
2022-02-07,Aleppo,10.7,-3.4,5.9
2022-02-07,Damascus,11.4,-3.9,0.5
2022-02-07,Homs,11.5,-6.4,0.0
2022-02-07,Idlib,8.5,-0.6,2.8
2022-02-07,Lattakia,15.7,6.5,2.7
2022-02-07,Hama,16.1,-0.7,9.1
2022-02-07,Al-Hasakah,10.8,-2.6,0.1
2022-02-07,Deir ez-Zor,19.0,0.2,0.0
2022-02-08,Aleppo,12.9,-5.3,6.7
2022-02-08,Damascus,9.2,-6.7,0.0
2022-02-08,Homs,9.7,-1.7,1.5
2022-02-08,Idlib,19.8,-4.2,0.0
2022-02-08,Lattakia,19.3,8.1,0.8
2022-02-08,Hama,19.7,-2.0,13.9
2022-02-08,Al-Hasakah,10.3,-0.0,7.5
2022-02-08,Deir ez-Zor,18.2,-2.4,0.5
2022-02-09,Aleppo,16.3,-4.6,1.2
2022-02-09,Damascus,17.5,-1.0,0.0
2022-02-09,Homs,10.0,-1.8,0.0
2022-02-09,Idlib,18.1,-1.2,0.0
2022-02-09,Lattakia,14.2,2.3,2.3
2022-02-09,Hama,20.1,-4.8,0.6
2022-02-09,Al-Hasakah,13.9,-0.9,0.0
2022-02-09,Deir ez-Zor,18.3,-2.6,0.0
2022-02-10,Aleppo,15.5,0.5,0.0
2022-02-10,Damascus,15.0,-3.8,3.5
2022-02-10,Homs,13.1,0.4,1.8
2022-02-10,Idlib,16.1,-1.2,0.0
2022-02-10,Lattakia,14.5,1.5,6.5
2022-02-10,Hama,13.6,-3.9,4.0
2022-02-10,Al-Hasakah,9.7,-1.6,0.0
2022-02-10,Deir ez-Zor,17.6,-2.1,0.0
2022-02-11,Aleppo,11.2,-3.3,0.0
2022-02-11,Damascus,19.2,-3.0,0.0
2022-02-11,Homs,8.2,-8.0,4.8
2022-02-11,Idlib,12.4,4.4,4.3
2022-02-11,Lattakia,21.1,7.7,0.0
2022-02-11,Hama,16.8,-2.9,0.3
2022-02-11,Al-Hasakah,15.7,0.0,0.0
2022-02-11,Deir ez-Zor,15.0,0.2,4.6
2022-02-12,Aleppo,11.0,2.7,0.0
2022-02-12,Damascus,13.6,-4.1,0.0
2022-02-12,Homs,18.4,0.6,4.2
2022-02-12,Idlib,12.7,0.2,14.1
2022-02-12,Lattakia,18.1,4.4,8.1
2022-02-12,Hama,11.4,-1.4,0.0
2022-02-12,Al-Hasakah,5.3,-2.5,0.0
2022-02-12,Deir ez-Zor,22.0,-3.1,0.0
2022-02-13,Aleppo,11.5,-3.8,0.0
2022-02-13,Damascus,12.0,-3.8,0.0
2022-02-13,Homs,11.4,-3.1,0.0
2022-02-13,Idlib,14.9,-4.3,45.9
2022-02-13,Lattakia,16.8,6.3,2.7
2022-02-13,Hama,17.3,-4.2,0.0
2022-02-13,Al-Hasakah,15.6,-1.9,0.6
2022-02-13,Deir ez-Zor,18.6,-3.8,9.8
2022-02-14,Aleppo,15.2,-2.3,3.1
2022-02-14,Damascus,16.1,1.1,0.0
2022-02-14,Homs,15.1,2.4,8.2
2022-02-14,Idlib,12.9,-3.2,7.1
2022-02-14,Lattakia,16.9,4.6,0.0
2022-02-14,Hama,14.4,-4.7,0.0
2022-02-14,Al-Hasakah,17.2,-1.7,0.0
2022-02-14,Deir ez-Zor,20.7,-3.4,0.0
2022-02-15,Aleppo,15.3,-4.6,0.0
2022-02-15,Damascus,20.7,1.8,0.0
2022-02-15,Homs,13.7,-0.4,0.0
2022-02-15,Idlib,13.1,1.6,0.0
2022-02-15,Lattakia,15.6,4.4,0.0
2022-02-15,Hama,12.6,0.6,0.0
2022-02-15,Al-Hasakah,14.9,2.4,0.0
2022-02-15,Deir ez-Zor,17.4,0.0,4.1
2022-02-16,Aleppo,17.0,0.1,0.0
2022-02-16,Damascus,16.3,-1.4,0.0
2022-02-16,Homs,10.8,0.6,0.0
2022-02-16,Idlib,9.0,-2.2,0.0
2022-02-16,Lattakia,14.3,4.3,0.0
2022-02-16,Hama,15.1,-1.1,3.0
2022-02-16,Al-Hasakah,18.8,3.0,0.0
2022-02-16,Deir ez-Zor,20.6,-0.1,0.0
2022-02-17,Aleppo,14.1,0.0,0.0
2022-02-17,Damascus,17.3,-1.6,0.0
2022-02-17,Homs,14.4,2.9,0.2
2022-02-17,Idlib,17.1,0.0,0.0
2022-02-17,Lattakia,19.1,8.5,0.0
2022-02-17,Hama,18.1,4.8,3.1
2022-02-17,Al-Hasakah,9.0,1.6,11.6
2022-02-17,Deir ez-Zor,20.0,0.8,0.0
2022-02-18,Aleppo,18.5,-1.5,0.0
2022-02-18,Damascus,16.9,-1.8,4.7
2022-02-18,Homs,16.7,-5.7,32.0
2022-02-18,Idlib,17.1,2.1,0.0
2022-02-18,Lattakia,18.2,4.3,26.9
2022-02-18,Hama,14.1,0.4,0.0
2022-02-18,Al-Hasakah,16.6,1.4,0.0
2022-02-18,Deir ez-Zor,20.2,8.2,0.0
2022-02-19,Aleppo,18.8,0.7,0.0
2022-02-19,Damascus,19.8,4.5,3.6
2022-02-19,Homs,13.8,-7.4,0.0
2022-02-19,Idlib,20.5,1.6,0.0
2022-02-19,Lattakia,16.9,5.6,0.2
2022-02-19,Hama,16.0,-4.6,0.0
2022-02-19,Al-Hasakah,13.5,-1.5,0.0
2022-02-19,Deir ez-Zor,26.3,-3.1,0.0
2022-02-20,Aleppo,14.1,-0.1,2.1
2022-02-20,Damascus,16.3,3.1,0.0
2022-02-20,Homs,13.7,-2.7,2.6
2022-02-20,Idlib,18.7,4.2,0.0
2022-02-20,Lattakia,17.3,4.7,2.4
2022-02-20,Hama,14.2,0.1,0.0
2022-02-20,Al-Hasakah,18.0,0.0,0.0
2022-02-20,Deir ez-Zor,26.4,-3.7,0.0
2022-02-21,Aleppo,16.9,-1.1,2.7
2022-02-21,Damascus,24.7,-0.6,4.1
2022-02-21,Homs,17.8,2.4,0.0
2022-02-21,Idlib,22.2,-1.2,7.8
2022-02-21,Lattakia,19.1,7.7,0.0
2022-02-21,Hama,11.7,-0.5,4.6
2022-02-21,Al-Hasakah,13.8,4.5,0.0
2022-02-21,Deir ez-Zor,19.9,0.8,0.0
2022-02-22,Aleppo,16.6,-0.7,0.0
2022-02-22,Damascus,12.0,4.1,0.0
2022-02-22,Homs,21.2,-1.7,0.1
2022-02-22,Idlib,16.6,2.0,2.5
2022-02-22,Lattakia,13.8,5.7,15.6
2022-02-22,Hama,18.2,3.7,0.0
2022-02-22,Al-Hasakah,12.5,-2.6,0.0
2022-02-22,Deir ez-Zor,26.7,-1.2,0.0
2022-02-23,Aleppo,14.2,-0.8,2.1
2022-02-23,Damascus,17.4,2.4,0.0
2022-02-23,Homs,15.3,-3.0,2.6
2022-02-23,Idlib,18.1,3.5,0.0
2022-02-23,Lattakia,16.1,3.6,3.9
2022-02-23,Hama,18.6,6.2,7.8
2022-02-23,Al-Hasakah,15.5,3.7,0.0
2022-02-23,Deir ez-Zor,22.9,-1.0,0.0
2022-02-24,Aleppo,13.3,-0.5,0.0
2022-02-24,Damascus,18.2,-4.6,0.0
2022-02-24,Homs,19.7,-0.8,0.0
2022-02-24,Idlib,21.0,1.0,10.7
2022-02-24,Lattakia,23.2,7.5,3.2
2022-02-24,Hama,20.9,4.8,2.2
2022-02-24,Al-Hasakah,15.1,0.1,30.6
2022-02-24,Deir ez-Zor,23.1,4.1,0.0
2022-02-25,Aleppo,20.1,4.9,0.0
2022-02-25,Damascus,15.5,2.3,2.6
2022-02-25,Homs,15.8,-1.0,0.0
2022-02-25,Idlib,17.9,3.3,3.5
2022-02-25,Lattakia,18.1,7.4,1.7
2022-02-25,Hama,21.0,0.8,11.8
2022-02-25,Al-Hasakah,13.5,1.8,0.0
2022-02-25,Deir ez-Zor,17.3,5.6,0.0
2022-02-26,Aleppo,24.8,-0.9,5.7
2022-02-26,Damascus,20.6,3.5,0.0
2022-02-26,Homs,13.2,0.8,3.4
2022-02-26,Idlib,19.1,-0.3,0.0
2022-02-26,Lattakia,17.3,7.4,0.0
2022-02-26,Hama,16.1,5.5,1.6
2022-02-26,Al-Hasakah,21.6,0.9,0.0
2022-02-26,Deir ez-Zor,23.5,3.2,0.0
2022-02-27,Aleppo,20.2,0.6,0.0
2022-02-27,Damascus,15.2,5.0,0.0
2022-02-27,Homs,15.7,1.3,0.0
2022-02-27,Idlib,9.8,2.4,2.3
2022-02-27,Lattakia,21.1,6.8,5.4
2022-02-27,Hama,18.2,3.9,0.0
2022-02-27,Al-Hasakah,16.6,1.8,0.0
2022-02-27,Deir ez-Zor,30.9,0.9,0.0
2022-02-28,Aleppo,16.3,-0.6,3.6
2022-02-28,Damascus,14.1,-0.2,2.7
2022-02-28,Homs,19.6,-4.7,3.1
2022-02-28,Idlib,24.7,3.2,0.0
2022-02-28,Lattakia,20.4,11.6,0.1
2022-02-28,Hama,18.6,3.8,1.7
2022-02-28,Al-Hasakah,12.7,3.9,1.8
2022-02-28,Deir ez-Zor,22.4,6.6,1.3
2022-03-01,Aleppo,24.3,3.0,15.8
2022-03-01,Damascus,20.5,3.1,0.0
2022-03-01,Homs,15.6,0.1,0.0
2022-03-01,Idlib,20.1,6.5,0.0
2022-03-01,Lattakia,17.6,11.9,2.1
2022-03-01,Hama,18.8,-1.0,0.0
2022-03-01,Al-Hasakah,16.3,3.2,0.0
2022-03-01,Deir ez-Zor,24.2,-0.0,0.0
2022-03-02,Aleppo,26.1,-1.2,0.9
2022-03-02,Damascus,20.6,4.1,0.0
2022-03-02,Homs,18.0,2.7,17.4
2022-03-02,Idlib,20.5,3.3,3.2
2022-03-02,Lattakia,19.9,4.9,4.2
2022-03-02,Hama,19.0,3.9,13.0
2022-03-02,Al-Hasakah,16.2,5.4,0.0
2022-03-02,Deir ez-Zor,23.3,5.3,0.0
2022-03-03,Aleppo,18.8,2.3,0.0
2022-03-03,Damascus,17.6,6.8,0.0
2022-03-03,Homs,12.6,4.7,4.2
2022-03-03,Idlib,15.9,5.3,0.0
2022-03-03,Lattakia,18.9,6.0,0.2
2022-03-03,Hama,19.0,5.9,0.0
2022-03-03,Al-Hasakah,26.2,0.4,0.0
2022-03-03,Deir ez-Zor,22.8,0.7,0.0
2022-03-04,Aleppo,15.9,4.2,2.0
2022-03-04,Damascus,12.0,4.3,0.0
2022-03-04,Homs,22.2,-0.2,0.0
2022-03-04,Idlib,14.5,4.6,0.7
2022-03-04,Lattakia,18.3,8.6,1.8
2022-03-04,Hama,22.6,1.6,0.0
2022-03-04,Al-Hasakah,15.5,3.0,0.0
2022-03-04,Deir ez-Zor,26.4,6.6,0.0
2022-03-05,Aleppo,18.8,8.1,0.0
2022-03-05,Damascus,20.4,2.1,7.6
2022-03-05,Homs,20.8,-0.9,0.0
2022-03-05,Idlib,19.0,4.7,2.3
2022-03-05,Lattakia,21.7,11.0,12.7
2022-03-05,Hama,22.8,5.9,0.0
2022-03-05,Al-Hasakah,19.3,2.3,0.0
2022-03-05,Deir ez-Zor,28.8,5.8,0.0
2022-03-06,Aleppo,17.6,3.9,0.0
2022-03-06,Damascus,19.5,4.2,6.1
2022-03-06,Homs,14.6,2.3,0.0
2022-03-06,Idlib,21.9,4.5,6.3
2022-03-06,Lattakia,20.8,7.6,0.7
2022-03-06,Hama,19.7,3.0,0.0
2022-03-06,Al-Hasakah,24.6,6.9,0.0
2022-03-06,Deir ez-Zor,29.8,6.4,0.0
2022-03-07,Aleppo,18.1,1.8,6.6
2022-03-07,Damascus,19.1,0.4,0.3
2022-03-07,Homs,19.9,4.7,0.0
2022-03-07,Idlib,19.6,1.4,1.6
2022-03-07,Lattakia,21.0,9.0,1.0
2022-03-07,Hama,20.8,3.2,0.0
2022-03-07,Al-Hasakah,16.2,3.4,1.1
2022-03-07,Deir ez-Zor,24.9,3.6,0.4
2022-03-08,Aleppo,19.9,4.9,0.0
2022-03-08,Damascus,17.1,7.1,0.0
2022-03-08,Homs,22.2,0.9,0.0
2022-03-08,Idlib,17.6,2.7,0.0
2022-03-08,Lattakia,22.0,10.2,6.0
2022-03-08,Hama,21.1,5.7,3.0
2022-03-08,Al-Hasakah,25.5,5.3,0.0
2022-03-08,Deir ez-Zor,27.9,6.5,0.0
2022-03-09,Aleppo,20.6,1.9,4.5
2022-03-09,Damascus,17.4,7.0,1.1
2022-03-09,Homs,17.8,2.4,0.3
2022-03-09,Idlib,23.4,9.0,15.1
2022-03-09,Lattakia,22.1,10.7,1.1
